Name,Version,License,Link
activesupport,5.2.0,MIT,http://rubyonrails.org
bundler,1.16.1,MIT,http://bundler.io
concurrent-ruby,1.0.5,MIT,http://www.concurrent-ruby.com
cwds-authentication,0.1.0,MIT,https://github.com/ca-cwds
diff-lcs,1.3,"MIT,Artistic-2.0,GPL-2.0+",https://github.com/halostatue/diff-lcs
docile,1.3.0,MIT,https://ms-ati.github.io/docile/
faraday,0.9.2,MIT,https://github.com/lostisland/faraday
i18n,1.0.1,MIT,http://github.com/svenfuchs/i18n
json,2.1.0,ruby,http://flori.github.com/json
minitest,5.11.3,MIT,https://github.com/seattlerb/minitest
multipart-post,2.0.0,MIT,https://github.com/nicksieger/multipart-post
rake,10.5.0,MIT,https://github.com/ruby/rake
rspec,3.7.0,MIT,http://github.com/rspec
rspec-core,3.7.1,MIT,https://github.com/rspec/rspec-core
rspec-expectations,3.7.0,MIT,https://github.com/rspec/rspec-expectations
rspec-mocks,3.7.0,MIT,https://github.com/rspec/rspec-mocks
rspec-support,3.7.1,MIT,https://github.com/rspec/rspec-support
simplecov,0.16.1,MIT,http://github.com/colszowka/simplecov
simplecov-html,0.10.2,MIT,https://github.com/colszowka/simplecov-html
thread_safe,0.3.6,Apache 2.0,https://github.com/ruby-concurrency/thread_safe
tzinfo,1.2.5,MIT,http://tzinfo.github.io
